mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,spectrogram_mean,spectrogram_median,spectrogram_variance,label
-253.24614,101.13814,-31.823067,35.025024,-43.86042,-42.175446,-18.953123,-26.989006,-22.478516,-22.452795,-3.011539,-20.42925,-9.8580475,1686.4812863283264,1399.546293980257,0.14377593994140625,0.55733454,0.16862845,1.0008123,0
-204.58443,29.964315,-82.78259,8.864604,-23.915932,18.335773,-13.256181,-13.38095,5.782967,-6.1689463,12.813196,-15.125164,8.111366,2367.8409097522303,1421.3624568555595,0.24401711856617647,0.6914609,0.6147342,1.1636795,0
-425.36157,91.42017,-3.5181377,17.997868,8.843939,21.250275,9.010568,8.888439,6.809872,12.109864,5.733194,9.688167,3.0741513,1492.6629406061238,1770.9928317595802,0.05449514678030303,0.08184903,0.029268647,0.03650898,0
-270.70367,117.437675,-41.724247,-19.638006,-8.88068,1.8924056,-16.688402,-27.325003,-29.69854,-6.76407,-10.603475,-4.2883472,6.891355,1293.4662657990373,1232.9626820051558,0.10475260416666667,0.5801779,0.12574509,1.1475266,0
-63.48028,58.647606,-60.941498,-29.420769,-28.960878,-22.718407,-26.484945,-29.99747,-27.898996,-6.177112,-7.5061507,1.0397173,-7.7149177,2053.6488835126465,1751.0682378447593,0.15941982581967212,1.4038936,0.69494593,3.0189147,0
-77.020546,78.55623,-64.796196,-27.162249,-26.699783,-33.943577,-19.147902,-29.54089,-26.251812,-2.8822844,-9.962695,-4.4589987,-7.462011,1786.8259004269698,1594.8323602856542,0.14182207661290322,1.2417591,0.3747169,3.1866598,0
-64.100266,54.38246,-74.94535,-41.553867,-33.237118,-18.796095,-28.125446,-24.844814,-32.104504,-18.137585,2.6119347,-5.773523,9.788087,2012.2969103098587,1694.86196992338,0.16050618489583332,1.5082089,0.647157,4.048113,0
-92.79143,72.423416,-77.23011,-18.195742,-20.604439,-22.33103,-4.6163893,-42.908653,-18.361792,-10.468428,-8.960121,-15.455624,-0.52057326,1884.5488456979142,1593.3546533733454,0.162109375,1.239738,0.4176791,3.6745079,0
-125.5417,120.595505,-68.186264,-35.517033,-34.542274,-14.683161,-30.064434,-33.542576,-31.49218,-16.517427,-13.579191,5.932633,13.348922,1238.533351475346,1151.8994656748152,0.10002055921052631,1.025455,0.16209447,5.309151,0
-112.115456,123.03987,-90.048965,-29.76987,-34.328316,-26.948734,-21.307125,-36.786106,-30.357143,-13.327455,-19.792685,-4.902056,12.3490925,1271.8471971740412,1063.7688684767284,0.10872977120535714,1.2262986,0.13805006,6.4245105,0
-71.351395,48.54721,-58.378517,-2.8614247,-24.833067,-27.940172,-19.716734,-25.87295,-9.507679,-5.4831047,-23.90047,-8.214518,-9.566278,2302.3450570806367,1710.4308054076664,0.23977179276315788,1.2984786,0.6291432,1.9523685,0
