model_name,true_negative,false_positive,false_negative,true_positive
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Logistic Regression,282,32,58,288
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Decision Tree,280,34,47,299
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
Random Forest,280,34,13,333
