Iteration,Model,Accuracy,Precision,Recall,F1-Score
1,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9482758620689655,0.953757225433526,0.9510086455331412
2,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9505813953488372,0.9450867052023122,0.9478260869565217
3,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9362880886426593,0.976878612716763,0.9561527581329562
4,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9380281690140845,0.9624277456647399,0.9500713266761769
5,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9671641791044776,0.9364161849710982,0.9515418502202643
6,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.956268221574344,0.9479768786127167,0.9521044992743106
7,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9409090909090909,0.9137466307277629,0.9797687861271677,0.9456066945606695
8,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9458689458689459,0.9595375722543352,0.9526542324246772
9,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.943939393939394,0.9401709401709402,0.953757225433526,0.9469153515064562
10,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9484240687679083,0.9566473988439307,0.9525179856115108
11,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9589442815249267,0.9450867052023122,0.9519650655021834
12,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9378787878787879,0.9320113314447592,0.9508670520231214,0.9413447782546495
13,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9430199430199431,0.9566473988439307,0.9497847919655668
14,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9565217391304348,0.953757225433526,0.9551374819102749
15,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9507246376811594,0.9479768786127167,0.9493487698986975
16,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9644970414201184,0.9421965317919075,0.9532163742690059
17,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.953757225433526,0.953757225433526,0.953757225433526
18,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9307479224376731,0.9710982658959537,0.9504950495049505
19,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9454022988505747,0.9508670520231214,0.9481268011527377
20,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.943502824858757,0.9653179190751445,0.9542857142857143
21,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.943939393939394,0.9478260869565217,0.9450867052023122,0.9464544138929089
22,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9563953488372093,0.9508670520231214,0.9536231884057971
23,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.940677966101695,0.9624277456647399,0.9514285714285714
24,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.940677966101695,0.9624277456647399,0.9514285714285714
25,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9512893982808023,0.9595375722543352,0.9553956834532374
26,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.935933147632312,0.9710982658959537,0.9531914893617022
27,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9588235294117647,0.9421965317919075,0.9504373177842566
28,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9378531073446328,0.9595375722543352,0.9485714285714286
29,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9508670520231214,0.9508670520231214,0.9508670520231214
30,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9590909090909091,0.9518413597733711,0.9710982658959537,0.9613733905579399
31,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.956060606060606,0.9648093841642229,0.9508670520231214,0.9577874818049491
32,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9385474860335196,0.9710982658959537,0.9545454545454546
33,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9545454545454546,0.9488636363636364,0.9653179190751445,0.9570200573065902
34,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9485714285714286,0.9595375722543352,0.9540229885057471
35,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9403409090909091,0.9566473988439307,0.9484240687679083
36,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9511494252873564,0.9566473988439307,0.9538904899135446
37,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9487179487179487,0.9624277456647399,0.9555236728837877
38,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9545454545454546,0.9514285714285714,0.9624277456647399,0.9568965517241379
39,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9482758620689655,0.953757225433526,0.9510086455331412
40,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9454545454545454,0.9378531073446328,0.9595375722543352,0.9485714285714286
